name,default_value
"memoryManager.http-client.use-blocking-connect","false"
"memoryManager.http-client.connect-timeout","5.00s"
"memoryManager.http-client.http2.enabled","false"
"memoryManager.http-client.http2.session-receive-window-size","16MB"
"memoryManager.http-client.http2.stream-receive-window-size","16MB"
"memoryManager.http-client.http2.input-buffer-size","8kB"
"memoryManager.http-client.http-proxy","----"
"memoryManager.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"memoryManager.http-client.https.included-cipher","[]"
"memoryManager.http-client.idle-timeout","30.00s"
"memoryManager.http-client.keep-alive-interval","----"
"memoryManager.http-client.key-store-password","[REDACTED]"
"memoryManager.http-client.key-store-path","----"
"memoryManager.http-client.log.buffer-size","1MB"
"memoryManager.http-client.log.compression.enabled","true"
"memoryManager.http-client.log.enabled","false"
"memoryManager.http-client.log.flush-interval","10.00s"
"memoryManager.http-client.log.max-history","15"
"memoryManager.http-client.log.max-size","1GB"
"memoryManager.http-client.log.path","var/log/"
"memoryManager.http-client.log.queue-size","10000"
"memoryManager.http-client.max-connections","200"
"memoryManager.http-client.max-connections-per-server","20"
"memoryManager.http-client.max-content-length","16MB"
"memoryManager.http-client.max-requests-queued-per-destination","1024"
"memoryManager.http-client.max-threads","200"
"memoryManager.http-client.min-threads","8"
"memoryManager.http-client.record-request-complete","true"
"memoryManager.http-client.request-buffer-size","4kB"
"memoryManager.http-client.request-timeout","10.00s"
"memoryManager.http-client.response-buffer-size","16kB"
"memoryManager.http-client.http-proxy.secure","false"
"memoryManager.http-client.secure-random-algorithm","----"
"memoryManager.http-client.selector-count","2"
"memoryManager.http-client.socks-proxy","----"
"memoryManager.http-client.timeout-concurrency","1"
"memoryManager.http-client.timeout-threads","1"
"memoryManager.http-client.trust-store-password","[REDACTED]"
"memoryManager.http-client.trust-store-path","----"
"memoryManager.http-client.https.hostname-verification","true"
"node-manager.http-client.https.automatic-shared-secret","[REDACTED]"
"node-manager.http-client.use-blocking-connect","false"
"node-manager.http-client.connect-timeout","5.00s"
"node-manager.http-client.http2.enabled","false"
"node-manager.http-client.http2.session-receive-window-size","16MB"
"node-manager.http-client.http2.stream-receive-window-size","16MB"
"node-manager.http-client.http2.input-buffer-size","8kB"
"node-manager.http-client.http-proxy","----"
"node-manager.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"node-manager.http-client.https.included-cipher","[]"
"node-manager.http-client.idle-timeout","30.00s"
"node-manager.http-client.keep-alive-interval","----"
"node-manager.http-client.key-store-password","[REDACTED]"
"node-manager.http-client.key-store-path","----"
"node-manager.http-client.log.buffer-size","1MB"
"node-manager.http-client.log.compression.enabled","true"
"node-manager.http-client.log.enabled","false"
"node-manager.http-client.log.flush-interval","10.00s"
"node-manager.http-client.log.max-history","15"
"node-manager.http-client.log.max-size","1GB"
"node-manager.http-client.log.path","var/log/"
"node-manager.http-client.log.queue-size","10000"
"node-manager.http-client.max-connections","200"
"node-manager.http-client.max-connections-per-server","20"
"node-manager.http-client.max-content-length","16MB"
"node-manager.http-client.max-requests-queued-per-destination","1024"
"node-manager.http-client.max-threads","200"
"node-manager.http-client.min-threads","8"
"node-manager.http-client.record-request-complete","true"
"node-manager.http-client.request-buffer-size","4kB"
"node-manager.http-client.request-timeout","10.00s"
"node-manager.http-client.response-buffer-size","16kB"
"node-manager.http-client.http-proxy.secure","false"
"node-manager.http-client.secure-random-algorithm","----"
"node-manager.http-client.selector-count","2"
"node-manager.http-client.socks-proxy","----"
"node-manager.http-client.timeout-concurrency","1"
"node-manager.http-client.timeout-threads","1"
"node-manager.http-client.trust-store-password","[REDACTED]"
"node-manager.http-client.trust-store-path","----"
"node-manager.http-client.https.hostname-verification","true"
"exchange.http-client.https.automatic-shared-secret","[REDACTED]"
"exchange.http-client.use-blocking-connect","false"
"exchange.http-client.connect-timeout","5.00s"
"exchange.http-client.http2.enabled","false"
"exchange.http-client.http2.session-receive-window-size","16MB"
"exchange.http-client.http2.stream-receive-window-size","16MB"
"exchange.http-client.http2.input-buffer-size","8kB"
"exchange.http-client.http-proxy","----"
"exchange.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"exchange.http-client.https.included-cipher","[]"
"exchange.http-client.idle-timeout","30.00s"
"exchange.http-client.keep-alive-interval","----"
"exchange.http-client.key-store-password","[REDACTED]"
"exchange.http-client.key-store-path","----"
"exchange.http-client.log.buffer-size","1MB"
"exchange.http-client.log.compression.enabled","true"
"exchange.http-client.log.enabled","false"
"exchange.http-client.log.flush-interval","10.00s"
"exchange.http-client.log.max-history","15"
"exchange.http-client.log.max-size","1GB"
"exchange.http-client.log.path","var/log/"
"exchange.http-client.log.queue-size","10000"
"exchange.http-client.max-connections","200"
"exchange.http-client.max-connections-per-server","250"
"exchange.http-client.max-content-length","32MB"
"exchange.http-client.max-requests-queued-per-destination","1024"
"exchange.http-client.max-threads","200"
"exchange.http-client.min-threads","8"
"exchange.http-client.record-request-complete","true"
"exchange.http-client.request-buffer-size","4kB"
"exchange.http-client.request-timeout","10.00s"
"exchange.http-client.response-buffer-size","16kB"
"exchange.http-client.http-proxy.secure","false"
"exchange.http-client.secure-random-algorithm","----"
"exchange.http-client.selector-count","2"
"exchange.http-client.socks-proxy","----"
"exchange.http-client.timeout-concurrency","1"
"exchange.http-client.timeout-threads","1"
"exchange.http-client.trust-store-password","[REDACTED]"
"exchange.http-client.trust-store-path","----"
"exchange.http-client.https.hostname-verification","true"
"scheduler.http-client.https.automatic-shared-secret","[REDACTED]"
"scheduler.http-client.use-blocking-connect","false"
"scheduler.http-client.connect-timeout","5.00s"
"scheduler.http-client.http2.enabled","false"
"scheduler.http-client.http2.session-receive-window-size","16MB"
"scheduler.http-client.http2.stream-receive-window-size","16MB"
"scheduler.http-client.http2.input-buffer-size","8kB"
"scheduler.http-client.http-proxy","----"
"scheduler.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"scheduler.http-client.https.included-cipher","[]"
"scheduler.http-client.idle-timeout","30.00s"
"scheduler.http-client.keep-alive-interval","----"
"scheduler.http-client.key-store-password","[REDACTED]"
"scheduler.http-client.key-store-path","----"
"scheduler.http-client.log.buffer-size","1MB"
"scheduler.http-client.log.compression.enabled","true"
"scheduler.http-client.log.enabled","false"
"scheduler.http-client.log.flush-interval","10.00s"
"scheduler.http-client.log.max-history","15"
"scheduler.http-client.log.max-size","1GB"
"scheduler.http-client.log.path","var/log/"
"scheduler.http-client.log.queue-size","10000"
"scheduler.http-client.max-connections","200"
"scheduler.http-client.max-connections-per-server","250"
"scheduler.http-client.max-content-length","16MB"
"scheduler.http-client.max-requests-queued-per-destination","1024"
"scheduler.http-client.max-threads","200"
"scheduler.http-client.min-threads","8"
"scheduler.http-client.record-request-complete","true"
